"Возраст";"Пол";"Состоит.в.браке";"Иждивенцы";"Доход";"Опыт.работы";"Срок.проживания";"Недвижимость";"Месячный.платеж";"Благонадежный.заемщик"
29;0;1;4;12000;11;10;0;6868;0
30;0;1;2;21000;12;5;33;4151;1
37;1;1;1;29500;9;26;0;3075;1
36;1;0;1;25500;17.5;16;0;5877;1
28;1;1;0;11500;6;17;0;3024;0
46;1;1;1;7900;2.5;11;0;5672;0
31;0;0;0;6500;13;13;0;1896;0
34;1;0;1;12000;16;5;0;6150;0
37;1;1;1;30500;9.5;6;39;4612;1
39;0;1;3;9500;20.5;11;36;4818;0
27;0;1;1;6600;9;2;0;3417;0
27;0;0;0;12000;7.5;3;27;7688;0
24;0;1;1;9500;8.5;24;0;2255;1
34;1;1;0;16000;10;5;0;4408;1
31;1;0;1;24500;11;8;33;2255;1
32;1;0;0;6500;14;29;0;3075;0
23;1;0;0;14500;5;20;38;1486;1
37;0;1;2;3800;16.5;23;0;1896;0
28;0;0;1;24500;10;2;0;9225;1
32;0;1;3;16000;11.5;15;0;1948;0
35;0;1;2;6000;11.5;14;0;5330;0
40;1;1;0;12000;18.5;7;27;3690;1
36;0;0;2;8500;17.5;24;73;5535;0
33;0;1;1;13500;12.5;29;0;7175;1
33;0;1;1;9000;10.5;2;27;1913;1
37;1;1;0;15500;19;18;13;6048;1
28;0;1;2;17500;10;27;0;3639;1
43;0;0;0;23800;10.5;3;25;3690;1
36;0;1;1;12000;4;5;0;3827;1
40;0;0;0;14500;19.5;28;0;6765;1
36;1;1;1;10000;18;4;34;3331;1
37;0;0;1;5400;19;2;0;4032;0
40;1;1;3;31000;5.5;6;0;3690;1
31;0;0;1;7700;13;4;57;1777;1
38;0;0;1;23200;15;8;27;1896;1
23;0;1;0;8000;5;11;32;2819;1
32;1;1;1;7500;14;17;0;5740;0
32;0;0;1;21500;14;2;0;3998;1
31;0;0;4;34500;13;10;34;3998;1
31;0;1;2;10500;13;26;0;5945;0
37;0;1;0;9500;15;31;0;2562;1
23;0;1;0;9000;5;19;0;1281;1
28;0;1;1;16500;10;3;38;4442;1
37;0;1;0;6000;16;3;0;3553;0
29;1;1;2;11500;9.5;2;0;2255;1
37;0;1;1;15500;19;2;7;3280;1
26;0;1;2;6400;8;5;0;3963;0
44;0;0;0;16400;19.5;12;13;4202;1
24;0;1;0;9000;6;2;0;6048;0
35;1;0;2;12000;15.5;2;0;3212;0
32;0;1;0;4000;14;3;0;2665;0
36;0;1;2;6500;15.5;11;0;1691;1
34;0;1;2;4000;16;9;33;4373;0
35;0;0;1;12500;16;13;36;2358;1
40;1;1;1;8500;19;3;0;5638;0
35;1;1;2;6500;3.5;5;38;2921;0
40;0;1;1;7500;21;35;0;4373;0
34;1;1;1;24700;15.5;3;0;1777;1
