Возраст,Пол,Состоит.в.браке,Иждивенцы,Доход,Опыт.работы,Срок.проживания,Недвижимость,Месячный.платеж
30,0,0,1,17000,12.0,8,0,5638
30,1,0,2,10500,12.0,8,0,6970
35,1,0,0,4500,16.0,33,0,1913
26,0,0,3,10500,8.0,2,34,1435
25,0,0,0,3200,3.5,4,24,6252
40,1,0,0,3000,9.0,3,0,3895
32,1,1,1,9000,14.0,8,0,7585
24,1,0,1,6500,6.0,2,83,2870
26,1,1,0,3800,3.0,3,39,3998
32,1,0,0,33000,14.0,26,0,4920
38,0,0,0,13500,14.0,38,59,6765
40,1,1,2,15500,17.0,2,0,7688
36,1,1,0,8900,16.5,19,0,1777
40,0,0,0,33000,7.0,40,0,4100
39,0,0,1,27100,19.5,13,0,5228
38,0,1,2,12000,17.5,19,0,2870
27,1,1,1,13500,9.0,19,67,3553
26,0,1,1,15500,8.0,5,0,2255
39,0,0,1,8500,17.0,10,0,2460
37,0,1,1,8500,18.5,2,42,3075
34,0,1,0,17300,16.0,13,0,2665
36,0,0,1,11600,18.0,13,0,4373
28,1,1,2,7900,10.0,7,0,3178
36,0,0,1,16000,13.5,19,39,6355
36,1,1,2,5500,4.5,32,0,4715
28,1,0,2,5000,10.0,7,12,4202
40,0,0,1,10500,16.5,27,0,3690
27,0,1,1,6600,9.0,2,0,3417
30,0,1,0,12500,8.0,4,35,2870
37,0,1,0,6500,8.5,4,0,3588
39,1,0,0,10000,18.5,9,40,1845
29,0,1,4,12000,11.0,10,0,6868
37,0,1,1,17500,12.5,8,0,5535
35,0,0,2,8000,17.0,24,0,3075
37,1,1,0,12600,12.0,5,0,4988
40,0,1,2,15500,19.0,10,0,6662
49,0,0,1,7500,27.0,3,37,6355
29,0,1,0,9500,11.0,3,67,6970
37,1,0,2,15800,9.0,10,0,5535
38,0,1,0,28500,12.5,19,40,4168
28,0,1,1,5100,2.5,7,25,2870
28,1,1,1,6000,10.0,6,0,1332
36,0,0,1,6000,9.5,8,15,2768
38,1,1,1,4500,13.0,13,0,2101
33,0,1,0,9500,15.0,15,0,5330
29,0,1,1,11000,11.0,29,38,5228
32,0,0,0,9500,10.5,8,0,4715
30,1,0,1,10000,12.0,11,0,5228
27,0,0,0,2300,6.5,27,0,4510
25,0,1,1,34500,7.0,16,69,6355
37,1,1,1,11000,6.5,10,0,6355
34,0,0,0,11000,16.0,2,41,1896
38,0,1,1,10500,20.0,21,0,3895
36,1,1,2,6500,18.0,30,0,5432
35,0,1,2,5000,15.5,17,39,3485
40,1,1,1,5400,12.5,17,0,4100
37,0,1,1,15500,19.0,2,7,3280
33,0,0,1,10700,15.0,3,24,4612
37,1,0,0,8000,18.0,2,0,4510
40,0,1,0,14000,16.5,7,0,5330
36,1,1,2,9000,15.5,8,39,2665
27,0,1,2,6000,9.0,11,0,5022
35,1,0,2,12000,15.5,2,0,3212
35,1,0,3,8500,12.0,23,0,5842
40,0,1,0,8000,15.0,8,0,4237
35,1,1,3,16000,9.0,18,30,2819
50,0,1,3,12500,19.5,12,30,2921
40,0,0,2,35000,4.0,7,33,3007
36,0,1,0,11500,8.5,2,4,3280
30,1,1,0,23500,11.0,8,21,1589
36,0,0,0,14000,8.5,4,0,4305
31,1,0,1,24500,11.0,8,33,2255
35,0,1,0,15500,17.0,32,0,3143
28,0,1,2,8000,10.0,7,0,3690
40,0,1,0,8600,19.0,7,0,5330
47,0,1,1,13000,23.0,2,0,3485
26,0,0,2,8700,8.0,5,0,5022
29,1,0,0,15500,7.5,12,40,1896
38,0,0,0,13200,19.5,37,7,10250
38,0,1,0,9500,14.5,13,0,6048
36,1,1,0,15000,16.5,17,32,3485
33,1,0,1,23500,15.0,2,0,3622
27,0,1,0,11000,9.0,7,0,6252
32,1,1,1,19500,14.0,4,41,2101
30,0,1,2,13500,12.0,3,32,2819
38,0,1,1,4900,14.5,38,36,6355
26,0,1,2,6400,8.0,5,0,3963
39,1,0,1,7500,8.5,15,0,4920
38,0,0,0,8000,16.5,2,10,9225
28,1,0,0,4000,10.0,2,0,3622
40,1,1,1,13500,15.0,16,36,3212
38,1,1,1,14000,3.5,14,28,6355
35,1,1,1,4500,6.5,29,0,1794
38,1,0,0,32500,8.0,6,0,2768
31,1,0,0,11000,13.0,25,33,5740
38,1,1,1,16000,3.5,15,0,3588
34,0,0,0,13500,4.0,20,0,2768
23,1,0,2,7000,5.0,23,0,1845
44,0,1,1,15500,21.5,3,0,1589
24,1,1,2,5200,4.0,24,0,3178
43,0,0,0,23800,10.5,3,25,3690
56,0,0,1,6500,18.5,4,44,2870
24,0,1,0,12500,6.0,13,0,5125
37,0,0,1,20000,9.5,8,0,3024
22,0,0,0,34000,4.0,19,33,2562
38,1,0,0,8000,18.0,26,0,2460
28,1,0,2,25000,7.0,15,0,4237
27,0,1,1,13500,5.5,5,0,6355
37,0,0,0,8000,17.5,5,0,6458
45,0,0,1,7500,26.0,33,43,3963
24,0,0,0,10500,6.0,3,0,5842
40,1,1,2,5500,17.5,18,4,3844
34,0,1,0,7500,11.5,8,36,4408
31,0,1,4,6200,4.5,28,0,4100
39,1,0,2,27500,5.0,38,0,2460
36,0,1,1,16000,16.5,31,79,3553
37,1,0,1,8500,13.0,22,0,4510
28,0,1,1,8800,10.0,13,0,1794
39,1,1,1,13000,20.5,21,0,3895
33,1,1,0,8500,15.0,31,0,4818
38,0,1,0,6000,16.0,2,0,2562
38,0,1,2,18500,20.0,3,31,4818
38,0,0,2,5100,16.5,13,37,4783
37,0,0,0,9500,16.0,7,33,5125
25,0,0,2,11000,7.0,8,0,2870
51,0,1,0,8200,14.0,27,36,3588
31,1,0,2,12000,13.0,7,35,3690
30,1,1,0,21000,12.0,3,24,4715
22,1,1,0,14000,4.0,3,34,4202
28,0,1,1,12000,10.0,26,31,4715
25,1,0,0,10000,7.0,3,13,6048
30,0,1,2,34500,4.0,23,0,2392
33,0,0,1,5000,15.0,7,0,4202
30,0,1,0,16900,12.0,19,0,6252
25,0,0,2,6000,7.0,21,0,2528
34,0,0,0,11300,15.5,34,21,3844
31,0,0,0,6500,13.0,13,0,1896
40,0,0,0,5000,17.5,23,0,4032
34,0,1,3,7500,16.0,6,0,6458
32,0,1,0,10500,14.0,32,0,2460
36,0,0,1,9000,16.5,2,39,3075
40,1,0,1,15400,21.0,4,33,3212
37,0,1,2,3800,16.5,23,0,1896
33,0,1,0,17500,8.0,2,0,5945
29,1,1,1,14500,11.0,27,47,1025
34,0,1,2,8800,16.0,3,12,2870
28,0,1,1,11000,10.0,26,0,2716
27,0,1,1,3400,5.0,2,30,4168
36,1,0,1,25500,17.5,16,0,5877
36,0,0,2,8500,17.5,24,73,5535
35,0,1,2,22000,16.0,26,30,6560
48,0,1,2,13000,9.5,17,4,4920
24,1,0,2,11500,6.0,2,0,3622
38,1,1,1,9000,15.0,2,0,3229
46,0,1,0,4500,25.5,2,34,1845
32,0,1,2,15500,10.0,8,0,6662
38,0,1,3,6500,20.0,37,0,3075
35,0,1,1,14000,16.0,14,0,2460
36,1,0,1,5500,10.0,32,0,5945
38,0,0,2,10000,10.0,30,0,4715
42,0,0,0,21000,20.0,11,0,4202
28,1,0,0,11500,10.0,18,84,7482
40,0,0,2,27000,12.5,5,0,5228
23,0,1,0,8500,3.5,2,0,2050
23,1,1,0,5000,5.0,5,0,2972
31,0,1,2,10500,13.0,26,0,5945
28,0,0,1,10000,10.0,18,11,1982
36,0,0,4,6500,2.5,32,0,2768
28,0,0,0,11500,10.0,9,0,4442
28,0,1,4,34500,10.0,8,33,5535
39,0,1,1,8800,12.0,34,0,4100
50,1,1,0,11000,4.5,29,32,7072
34,1,0,2,3200,13.5,34,36,4852
42,1,1,1,3200,10.5,6,28,3280
35,1,1,1,13800,16.0,2,47,2562
38,0,0,1,8500,20.0,23,0,4852
39,0,0,2,14000,19.5,29,0,5672
30,1,1,0,9500,12.0,24,0,5057
57,0,1,0,38700,13.0,3,0,4305
36,1,1,1,10300,11.0,18,0,7790
29,0,0,3,25500,11.0,8,30,3741
40,1,1,2,10000,18.0,31,0,3212
36,1,1,2,3800,8.5,6,40,1896
34,0,1,2,4000,16.0,9,33,4373
32,0,1,1,8500,14.0,3,29,2358
39,1,0,0,3400,17.0,26,0,6252
37,0,0,2,19500,18.0,31,43,3024
35,1,0,2,10600,16.0,5,0,4168
38,0,0,0,15000,19.0,20,33,7380
34,0,1,1,14200,16.0,29,34,3348
35,0,0,1,12500,16.0,13,36,2358
36,1,0,0,17500,7.5,3,27,4305
33,1,1,2,4000,15.0,15,0,3382
38,0,1,2,11000,4.5,8,24,6458
37,0,0,2,11000,11.0,3,0,9532
30,0,1,0,7500,12.0,2,0,3690
36,1,0,1,12000,18.0,24,25,5740
47,0,0,2,6500,9.5,3,0,2870
38,1,1,1,11000,18.5,32,0,3895
33,0,1,3,17900,11.0,6,0,1896
34,0,0,1,7300,12.5,2,0,5330
50,1,1,1,15500,16.5,13,0,3758
22,0,1,1,15500,4.0,21,0,1845
28,1,1,0,7500,10.0,15,0,2392
25,0,0,0,6500,7.0,12,30,4202
33,0,0,2,8000,15.0,2,0,3007
29,1,1,2,11500,9.5,2,0,2255
36,0,1,0,6900,10.5,5,0,2870
26,1,1,2,12500,8.0,24,0,2802
27,1,1,1,9000,9.0,4,0,3024
40,0,1,2,15500,19.0,9,0,5945
23,0,0,1,27000,5.0,8,0,4920
40,0,0,0,8500,15.5,10,25,1982
30,1,1,1,11500,1.5,2,0,2768
36,0,0,2,21500,17.5,12,39,3024
27,0,0,1,7500,9.0,3,0,3280
55,1,0,0,21100,20.0,31,8,5432
37,0,0,3,14000,7.0,17,23,4305
30,0,1,0,10500,12.0,3,36,3434
38,1,0,1,10000,15.5,4,0,1025
39,0,0,2,25900,1.5,7,31,3212
34,0,1,2,23900,16.0,11,46,4818
38,0,0,1,11500,20.0,5,0,3348
40,1,1,1,27500,9.0,34,0,3690
35,0,1,1,3800,16.0,4,39,5125
33,1,1,1,5400,14.0,30,0,3553
24,0,0,0,6000,6.0,5,23,3143
28,1,0,2,29300,9.0,5,35,2768
28,0,1,0,14500,4.0,28,0,6355
29,0,1,1,26500,11.0,28,0,3417
41,0,1,2,29800,13.5,28,0,3895
38,0,1,0,13000,16.5,18,61,6252
39,1,1,2,12900,16.0,2,34,6662
36,1,1,2,28000,18.0,6,0,4920
34,0,0,2,13200,15.5,24,78,3963
33,0,0,1,11500,15.0,26,40,2511
40,0,1,1,4100,18.5,22,0,2255
